card_id,customer_id,card_brand,card_type,card_number_last_4,card_number_hash,cardholder_name,expiry_month,expiry_year,is_default,card_status,issued_date,created_at
CARD_00000041,CUST_000025,Mastercard,Debit,7707,hash_6033858554417707,Dustin Schmidt,5,2026,True,Active,2022-09-25,2026-03-10 09:14:45.545702
CARD_00000042,CUST_000026,Visa,Debit,3097,hash_0587527808553097,Michelle Osborne,2,2028,True,Active,2024-10-05,2026-03-10 09:14:45.546533
CARD_00000043,CUST_000026,Discover,Business,1196,hash_0803956156991196,Michelle Osborne,12,2025,False,Expired,2025-04-06,2026-03-10 09:14:45.548604
CARD_00000044,CUST_000027,American Express,Business,3359,hash_5858681771363359,Linda Mcdonald,6,2026,True,Active,2024-03-20,2026-03-10 09:14:45.549648
CARD_00000045,CUST_000027,American Express,Debit,4621,hash_9156829263764621,Linda Mcdonald,6,2026,False,Expired,2025-04-06,2026-03-10 09:14:45.550441
CARD_00000046,CUST_000028,Visa,Business,3433,hash_8292250604973433,Robert Newton,12,2026,True,Active,2026-03-01,2026-03-10 09:14:45.551250
CARD_00000047,CUST_000028,American Express,Credit,2952,hash_3941311356922952,Robert Newton,2,2029,False,Active,2023-02-12,2026-03-10 09:14:45.552002
CARD_00000048,CUST_000028,Mastercard,Credit,7683,hash_9736916445857683,Robert Newton,2,2031,False,Active,2024-08-20,2026-03-10 09:14:45.552786
CARD_00000049,CUST_000029,Discover,Business,9980,hash_1244077369259980,Kristina Carlson,5,2028,True,Blocked,2025-01-12,2026-03-10 09:14:45.553578
CARD_00000050,CUST_000030,Visa,Credit,1184,hash_5384440077531184,Ronald Rodriguez,4,2026,True,Active,2025-08-31,2026-03-10 09:14:45.554422
CARD_00000051,CUST_000030,Discover,Business,1818,hash_5444002934171818,Ronald Rodriguez,7,2031,False,Active,2024-06-15,2026-03-10 09:14:45.555254
CARD_00000052,CUST_000031,American Express,Business,7545,hash_5363196714067545,Carlos Decker,2,2025,True,Active,2024-12-02,2026-03-10 09:14:45.556085
CARD_00000053,CUST_000032,Discover,Debit,2448,hash_1109770783002448,Danny Ramirez,10,2030,True,Active,2025-06-18,2026-03-10 09:14:45.556931
CARD_00000054,CUST_000033,American Express,Credit,2511,hash_8088848315352511,Scott Coleman,9,2031,True,Active,2025-12-09,2026-03-10 09:14:45.557735
CARD_00000055,CUST_000033,Mastercard,Business,0002,hash_0756840964280002,Scott Coleman,12,2030,False,Active,2024-05-29,2026-03-10 09:14:45.558548
CARD_00000056,CUST_000034,Mastercard,Debit,4143,hash_9182497154984143,Jane Mason,11,2031,True,Active,2024-08-31,2026-03-10 09:14:45.559359
CARD_00000057,CUST_000035,Discover,Debit,3432,hash_4664832345213432,Alexandria Foster,8,2026,True,Active,2025-11-02,2026-03-10 09:14:45.560151
CARD_00000058,CUST_000035,American Express,Debit,9733,hash_1039869667099733,Alexandria Foster,4,2030,False,Active,2026-02-27,2026-03-10 09:14:45.560943
CARD_00000059,CUST_000036,American Express,Credit,8977,hash_9655458989798977,Taylor Welch,1,2026,True,Blocked,2023-05-02,2026-03-10 09:14:45.561747
CARD_00000060,CUST_000037,Visa,Credit,4021,hash_2369812390614021,Benjamin Zimmerman,1,2031,True,Expired,2022-08-11,2026-03-10 09:14:45.562605
CARD_00000061,CUST_000038,Discover,Debit,5680,hash_6988812641295680,Clarence Santiago,11,2031,True,Active,2023-04-01,2026-03-10 09:14:45.563400
CARD_00000062,CUST_000038,Visa,Credit,7058,hash_3959637403287058,Clarence Santiago,7,2028,False,Blocked,2022-11-09,2026-03-10 09:14:45.564200
CARD_00000063,CUST_000039,Mastercard,Business,1615,hash_4475712592551615,Erika Hudson,1,2027,True,Blocked,2022-08-17,2026-03-10 09:14:45.565017
CARD_00000064,CUST_000040,Discover,Credit,6275,hash_9348698607326275,Justin Gallegos,5,2028,True,Active,2022-03-22,2026-03-10 09:14:45.565970
CARD_00000065,CUST_000041,Mastercard,Business,0611,hash_3551760453130611,Alexandra Ward,9,2029,True,Active,2025-12-28,2026-03-10 09:14:45.566910
CARD_00000066,CUST_000041,Visa,Debit,5439,hash_8023693165255439,Alexandra Ward,12,2031,False,Active,2025-06-03,2026-03-10 09:14:45.567671
CARD_00000067,CUST_000042,Visa,Credit,1319,hash_7952638421121319,Karen Lee,9,2026,True,Active,2024-08-13,2026-03-10 09:14:45.568460
CARD_00000068,CUST_000042,Discover,Credit,4138,hash_3053228584174138,Karen Lee,4,2029,False,Blocked,2024-01-31,2026-03-10 09:14:45.569226
CARD_00000069,CUST_000043,Visa,Credit,7862,hash_5162242198117862,Danielle Moody,9,2027,True,Blocked,2022-09-26,2026-03-10 09:14:45.569989
CARD_00000070,CUST_000044,American Express,Debit,3561,hash_2603367046333561,Heather Lutz,5,2028,True,Expired,2022-06-13,2026-03-10 09:14:45.570797
CARD_00000071,CUST_000045,Visa,Credit,6976,hash_5645461455496976,Yvonne Higgins,5,2025,True,Active,2025-02-15,2026-03-10 09:14:45.571590
CARD_00000072,CUST_000046,Discover,Business,9313,hash_4414302043649313,Christina Davis,12,2026,True,Active,2022-12-04,2026-03-10 09:14:45.572376
CARD_00000073,CUST_000047,Discover,Business,0919,hash_5949080788010919,David Wood,12,2029,True,Active,2022-09-04,2026-03-10 09:14:45.573172
CARD_00000074,CUST_000047,Visa,Business,7786,hash_7570067240647786,David Wood,11,2025,False,Active,2025-11-05,2026-03-10 09:14:45.573919
CARD_00000075,CUST_000048,American Express,Credit,4457,hash_4347933262294457,Kathryn Diaz,10,2030,True,Active,2024-03-22,2026-03-10 09:14:45.574715
CARD_00000076,CUST_000049,Visa,Business,4371,hash_1203388896194371,Maria Patel,6,2029,True,Blocked,2025-06-05,2026-03-10 09:14:45.575492
CARD_00000077,CUST_000049,Mastercard,Credit,5334,hash_1907168879815334,Maria Patel,12,2027,False,Expired,2022-05-16,2026-03-10 09:14:45.576240
CARD_00000078,CUST_000049,Visa,Credit,6558,hash_2966081447766558,Maria Patel,6,2028,False,Active,2024-03-22,2026-03-10 09:14:45.577008
CARD_00000079,CUST_000050,Discover,Debit,2668,hash_4312675407252668,Nicholas Frye,5,2031,True,Active,2023-07-30,2026-03-10 09:14:45.577803
CARD_00000080,CUST_000051,Mastercard,Debit,6188,hash_0420372918946188,Derrick Gilbert,4,2028,True,Active,2023-06-21,2026-03-10 09:14:45.578576
CARD_00000081,CUST_000052,American Express,Debit,9333,hash_0814832657249333,Albert Bradley,10,2030,True,Expired,2026-01-04,2026-03-10 09:14:45.579367
CARD_00000082,CUST_000052,Discover,Debit,6632,hash_5457649538306632,Albert Bradley,8,2029,False,Blocked,2025-10-22,2026-03-10 09:14:45.580099
CARD_00000083,CUST_000053,Visa,Debit,3236,hash_7112202579543236,Kevin Sharp,1,2031,True,Blocked,2024-05-23,2026-03-10 09:14:45.580884
CARD_00000084,CUST_000053,Visa,Business,4839,hash_0850053356894839,Kevin Sharp,2,2027,False,Active,2023-09-01,2026-03-10 09:14:45.581619
CARD_00000085,CUST_000054,Mastercard,Debit,3049,hash_5502429292443049,Bryan Kelley,5,2028,True,Blocked,2023-01-03,2026-03-10 09:14:45.582400
CARD_00000086,CUST_000054,Discover,Debit,3783,hash_6612078358583783,Bryan Kelley,5,2030,False,Blocked,2023-05-29,2026-03-10 09:14:45.583171
CARD_00000087,CUST_000055,American Express,Business,9843,hash_6795985837319843,Nicholas Vance,2,2025,True,Active,2024-11-13,2026-03-10 09:14:45.583933
CARD_00000088,CUST_000056,American Express,Business,4269,hash_3764997849414269,Jamie Garcia,5,2025,True,Active,2025-03-16,2026-03-10 09:14:45.584727
CARD_00000089,CUST_000056,American Express,Credit,0071,hash_4880143986560071,Jamie Garcia,12,2026,False,Active,2025-07-10,2026-03-10 09:14:45.585465
CARD_00000090,CUST_000057,Discover,Debit,1265,hash_5510944158191265,Connie Simmons,12,2031,True,Blocked,2023-12-11,2026-03-10 09:14:45.586261
CARD_00000091,CUST_000057,American Express,Credit,7453,hash_9220643933577453,Connie Simmons,12,2030,False,Active,2023-10-06,2026-03-10 09:14:45.587099
CARD_00000092,CUST_000058,American Express,Business,6368,hash_9018727093256368,Emily Morrison,11,2026,True,Expired,2023-08-15,2026-03-10 09:14:45.587896
CARD_00000093,CUST_000058,Mastercard,Business,7193,hash_2797783447687193,Emily Morrison,6,2028,False,Active,2024-03-13,2026-03-10 09:14:45.588660
CARD_00000094,CUST_000059,Visa,Debit,2860,hash_1750067443552860,Sarah Riley,7,2029,True,Expired,2025-08-04,2026-03-10 09:14:45.589457
CARD_00000095,CUST_000060,Mastercard,Business,4283,hash_5964820383194283,Christine Estrada,6,2026,True,Blocked,2024-09-04,2026-03-10 09:14:45.590277
CARD_00000096,CUST_000061,American Express,Debit,4231,hash_1847152947904231,Joseph Sanders,9,2027,True,Active,2022-09-30,2026-03-10 09:14:45.591076
CARD_00000097,CUST_000062,Discover,Business,6583,hash_6504203112776583,Karen Marquez,12,2025,True,Active,2025-11-03,2026-03-10 09:14:45.591877
CARD_00000098,CUST_000062,Mastercard,Business,6821,hash_3985428443306821,Karen Marquez,3,2025,False,Active,2025-06-30,2026-03-10 09:14:45.592625
CARD_00000099,CUST_000063,American Express,Debit,7956,hash_1753472230877956,Kelsey Phillips,6,2025,True,Active,2022-09-21,2026-03-10 09:14:45.593421
CARD_00000100,CUST_000063,Visa,Credit,5437,hash_2928368682375437,Kelsey Phillips,1,2030,False,Blocked,2022-05-06,2026-03-10 09:14:45.594162
CARD_00000101,CUST_000064,Visa,Credit,6021,hash_4288337185876021,Bryan Hamilton,5,2031,True,Blocked,2023-03-24,2026-03-10 09:14:45.594971
CARD_00000102,CUST_000065,Visa,Debit,7582,hash_0488320170767582,Lisa Long,10,2028,True,Expired,2022-03-25,2026-03-10 09:14:45.595738
CARD_00000103,CUST_000066,Mastercard,Debit,1680,hash_3823663525171680,Anna Newman,8,2031,True,Active,2022-05-15,2026-03-10 09:14:45.596526
CARD_00000104,CUST_000066,Mastercard,Credit,2370,hash_1059729080272370,Anna Newman,6,2025,False,Active,2023-06-21,2026-03-10 09:14:45.597284
CARD_00000105,CUST_000067,American Express,Business,0807,hash_0964409588740807,Thomas Kim,5,2027,True,Active,2023-05-16,2026-03-10 09:14:45.598075
CARD_00000106,CUST_000067,American Express,Debit,4786,hash_6207277409694786,Thomas Kim,7,2025,False,Active,2024-08-06,2026-03-10 09:14:45.598832
CARD_00000107,CUST_000068,American Express,Credit,6189,hash_0314273009286189,James Wilson,2,2027,True,Active,2024-01-11,2026-03-10 09:14:45.599618
CARD_00000108,CUST_000069,American Express,Credit,7108,hash_2588623541527108,Stephanie Washington,12,2027,True,Expired,2025-10-17,2026-03-10 09:14:45.600394
CARD_00000109,CUST_000069,Mastercard,Debit,3268,hash_9440867854513268,Stephanie Washington,5,2030,False,Blocked,2023-06-25,2026-03-10 09:14:45.601161
CARD_00000110,CUST_000070,Discover,Credit,1746,hash_2286798530761746,Kenneth Kidd,4,2029,True,Active,2023-10-23,2026-03-10 09:14:45.601919
CARD_00000111,CUST_000071,Mastercard,Business,5030,hash_2912005471375030,Jacqueline Anderson,2,2029,True,Active,2026-02-19,2026-03-10 09:14:45.602724
CARD_00000112,CUST_000071,Mastercard,Credit,9426,hash_3959215494949426,Jacqueline Anderson,6,2028,False,Active,2022-06-17,2026-03-10 09:14:45.603469
CARD_00000113,CUST_000071,Visa,Credit,2291,hash_3053448015462291,Jacqueline Anderson,3,2026,False,Blocked,2022-10-26,2026-03-10 09:14:45.604256
CARD_00000114,CUST_000072,Visa,Business,7587,hash_6320721320217587,Ashlee Washington,10,2027,True,Expired,2025-04-06,2026-03-10 09:14:45.605046
CARD_00000115,CUST_000073,Mastercard,Debit,6407,hash_4043524155456407,Lisa Mcneil,4,2025,True,Blocked,2024-10-14,2026-03-10 09:14:45.605860
CARD_00000116,CUST_000074,Mastercard,Business,8210,hash_2293569350768210,Michelle Miller,3,2029,True,Active,2023-02-20,2026-03-10 09:14:45.606631
CARD_00000117,CUST_000074,Discover,Debit,2524,hash_2362873000072524,Michelle Miller,7,2026,False,Expired,2024-08-06,2026-03-10 09:14:45.607393
CARD_00000118,CUST_000074,Discover,Business,2217,hash_5259941872782217,Michelle Miller,10,2025,False,Active,2022-06-02,2026-03-10 09:14:45.608123
CARD_00000119,CUST_000075,American Express,Debit,7681,hash_8404774803217681,Michael Vega,4,2030,True,Active,2025-09-08,2026-03-10 09:14:45.608930
CARD_00000120,CUST_000075,American Express,Debit,5119,hash_2721251706195119,Michael Vega,8,2031,False,Active,2022-04-21,2026-03-10 09:14:45.609671
CARD_00000121,CUST_000076,Visa,Business,4288,hash_7656460084424288,Jessica Mathis,6,2031,True,Active,2022-10-15,2026-03-10 09:14:45.610440
CARD_00000122,CUST_000076,American Express,Debit,3671,hash_9375331134753671,Jessica Mathis,12,2031,False,Active,2026-01-01,2026-03-10 09:14:45.611218
CARD_00000123,CUST_000077,Discover,Credit,7178,hash_1808099155067178,Emily Wilson,6,2029,True,Expired,2025-04-28,2026-03-10 09:14:45.612003
CARD_00000124,CUST_000078,Mastercard,Credit,7240,hash_8028133122057240,Jodi Sanchez,10,2031,True,Active,2025-11-27,2026-03-10 09:14:45.612797
CARD_00000125,CUST_000078,Discover,Credit,8843,hash_8769644407038843,Jodi Sanchez,3,2027,False,Active,2023-09-13,2026-03-10 09:14:45.613535
CARD_00000126,CUST_000078,American Express,Debit,4318,hash_0456821286814318,Jodi Sanchez,9,2030,False,Active,2022-08-22,2026-03-10 09:14:45.614289
CARD_00000127,CUST_000079,American Express,Business,5503,hash_6187763125475503,Dennis Wilkins,5,2028,True,Expired,2022-10-07,2026-03-10 09:14:45.615098
CARD_00000128,CUST_000079,American Express,Business,5039,hash_8055944945715039,Dennis Wilkins,3,2025,False,Active,2025-07-01,2026-03-10 09:14:45.615836
CARD_00000129,CUST_000080,Mastercard,Credit,9549,hash_3783995036079549,David Howard,11,2031,True,Active,2022-09-04,2026-03-10 09:14:45.616630
CARD_00000130,CUST_000080,Discover,Credit,3632,hash_4564806963843632,David Howard,9,2027,False,Active,2023-01-20,2026-03-10 09:14:45.617385
CARD_00000131,CUST_000080,Mastercard,Business,9786,hash_7753728116939786,David Howard,5,2028,False,Blocked,2025-04-22,2026-03-10 09:14:45.618135
CARD_00000132,CUST_000081,Discover,Credit,3003,hash_0969898924773003,Rachel Ramos,6,2030,True,Active,2025-11-10,2026-03-10 09:14:45.618943
CARD_00000133,CUST_000081,Mastercard,Debit,5194,hash_1901433875015194,Rachel Ramos,5,2030,False,Active,2024-02-24,2026-03-10 09:14:45.619686
CARD_00000134,CUST_000082,American Express,Debit,8481,hash_2570015832798481,Laura Mayo,3,2031,True,Active,2023-08-09,2026-03-10 09:14:45.620532
CARD_00000135,CUST_000082,Discover,Debit,7306,hash_9532104116797306,Laura Mayo,1,2027,False,Expired,2025-11-02,2026-03-10 09:14:45.621310
CARD_00000136,CUST_000083,Visa,Credit,7548,hash_8493494797167548,Stacey Elliott,3,2028,True,Active,2023-11-11,2026-03-10 09:14:45.622117
CARD_00000137,CUST_000084,Mastercard,Debit,4220,hash_5761208602334220,Kevin Taylor,7,2027,True,Active,2025-11-11,2026-03-10 09:14:45.622921
CARD_00000138,CUST_000084,Mastercard,Credit,3698,hash_1334130109933698,Kevin Taylor,9,2029,False,Active,2023-09-14,2026-03-10 09:14:45.623686
CARD_00000139,CUST_000084,Visa,Debit,2666,hash_5178347242922666,Kevin Taylor,10,2029,False,Blocked,2024-06-08,2026-03-10 09:14:45.624437
CARD_00000140,CUST_000085,Visa,Debit,0277,hash_3137826839240277,Dalton Crawford,4,2026,True,Blocked,2025-03-12,2026-03-10 09:14:45.625244
CARD_00000141,CUST_000085,Mastercard,Business,8855,hash_2180647364488855,Dalton Crawford,5,2025,False,Expired,2024-09-19,2026-03-10 09:14:45.625994
CARD_00000142,CUST_000086,Mastercard,Business,4828,hash_2253523846914828,Lucas Lynn,11,2031,True,Expired,2023-11-08,2026-03-10 09:14:45.626768
CARD_00000143,CUST_000087,Visa,Credit,3384,hash_7069918095803384,James Johnson,5,2030,True,Active,2022-12-30,2026-03-10 09:14:45.627549
CARD_00000144,CUST_000087,Visa,Credit,6801,hash_2308717650696801,James Johnson,11,2025,False,Expired,2023-08-05,2026-03-10 09:14:45.628295
CARD_00000145,CUST_000088,American Express,Debit,3102,hash_3342006002933102,Angela Randall,11,2028,True,Active,2024-08-30,2026-03-10 09:14:45.629087
CARD_00000146,CUST_000089,Discover,Business,0457,hash_1637258007240457,April Stark,3,2027,True,Active,2023-08-16,2026-03-10 09:14:45.629852
CARD_00000147,CUST_000089,American Express,Business,6762,hash_9833617528476762,April Stark,2,2031,False,Active,2024-11-09,2026-03-10 09:14:45.630583
CARD_00000148,CUST_000090,Visa,Business,7018,hash_7004405048457018,Michele Cohen,3,2030,True,Active,2025-01-25,2026-03-10 09:14:45.631386
CARD_00000149,CUST_000091,Mastercard,Credit,7198,hash_6303566625737198,Nathan Wheeler,9,2026,True,Active,2025-10-04,2026-03-10 09:14:45.632165
CARD_00000150,CUST_000092,Discover,Debit,2918,hash_5948419380062918,Madison Sanders,3,2026,True,Active,2024-03-11,2026-03-10 09:14:45.632982
CARD_00000151,CUST_000093,Discover,Debit,5259,hash_6538532321415259,Gina Little,9,2025,True,Active,2022-03-13,2026-03-10 09:14:45.634105
CARD_00000152,CUST_000093,Discover,Credit,7531,hash_3130298945247531,Gina Little,9,2029,False,Active,2024-07-19,2026-03-10 09:14:45.634885
CARD_00000153,CUST_000094,Discover,Business,0915,hash_6083209389550915,Victoria Cooper,2,2027,True,Expired,2026-03-09,2026-03-10 09:14:45.635696
CARD_00000154,CUST_000095,Discover,Business,6046,hash_3892708891376046,Curtis Gordon,4,2031,True,Active,2024-01-07,2026-03-10 09:14:45.636511
CARD_00000155,CUST_000095,Mastercard,Credit,5237,hash_8417129016915237,Curtis Gordon,3,2026,False,Active,2025-08-13,2026-03-10 09:14:45.639505
CARD_00000156,CUST_000095,Mastercard,Business,8174,hash_7290858600548174,Curtis Gordon,2,2029,False,Active,2022-07-10,2026-03-10 09:14:45.640438
CARD_00000157,CUST_000096,Visa,Business,6573,hash_9731411598356573,Hannah Butler,12,2031,True,Active,2026-02-10,2026-03-10 09:14:45.642269
CARD_00000158,CUST_000096,Visa,Credit,6232,hash_5180554409416232,Hannah Butler,3,2028,False,Blocked,2024-08-17,2026-03-10 09:14:45.644395
CARD_00000159,CUST_000097,Discover,Credit,3909,hash_7968493786643909,Jimmy Smith,10,2031,True,Active,2024-10-11,2026-03-10 09:14:45.646659
CARD_00000160,CUST_000097,Visa,Business,0628,hash_4852265854960628,Jimmy Smith,6,2025,False,Expired,2023-02-12,2026-03-10 09:14:45.648332
CARD_00000161,CUST_000097,Mastercard,Debit,5009,hash_6360674145155009,Jimmy Smith,3,2030,False,Blocked,2022-06-24,2026-03-10 09:14:45.650032
CARD_00000162,CUST_000098,Mastercard,Credit,0229,hash_1896652577800229,Hannah Mendoza,8,2031,True,Expired,2023-04-19,2026-03-10 09:14:45.651758
CARD_00000163,CUST_000098,Mastercard,Credit,6490,hash_1125010467906490,Hannah Mendoza,3,2031,False,Expired,2025-03-10,2026-03-10 09:14:45.653481
CARD_00000164,CUST_000099,American Express,Debit,5822,hash_0824985877085822,Ryan Barber,6,2025,True,Expired,2023-09-21,2026-03-10 09:14:45.654713
CARD_00000165,CUST_000099,Discover,Credit,5587,hash_2218248712175587,Ryan Barber,4,2031,False,Active,2024-07-15,2026-03-10 09:14:45.655495
CARD_00000166,CUST_000100,Discover,Debit,9108,hash_1539222576339108,Tina Mcgee,12,2031,True,Expired,2023-06-16,2026-03-10 09:14:45.656348
CARD_00000167,CUST_000101,Visa,Debit,4268,hash_8378994693024268,Jacqueline Williams,12,2030,True,Active,2022-12-28,2026-03-10 09:14:45.657158
CARD_00000168,CUST_000102,Discover,Business,7871,hash_2493944599577871,Heather Thompson,12,2026,True,Active,2023-04-16,2026-03-10 09:14:45.657991
CARD_00000169,CUST_000103,American Express,Credit,4936,hash_1296105825204936,Alexandra Johnson,6,2026,True,Blocked,2025-02-22,2026-03-10 09:14:45.658803
CARD_00000170,CUST_000103,Discover,Debit,5542,hash_6657394307045542,Alexandra Johnson,5,2028,False,Active,2023-07-31,2026-03-10 09:14:45.659590
CARD_00000171,CUST_000104,American Express,Business,5392,hash_8777675117055392,Kimberly Brandt,11,2027,True,Expired,2023-11-16,2026-03-10 09:14:45.660411
CARD_00000172,CUST_000104,Discover,Credit,0369,hash_0234254255710369,Kimberly Brandt,3,2027,False,Expired,2023-11-02,2026-03-10 09:14:45.661196
CARD_00000173,CUST_000105,Mastercard,Debit,6442,hash_2832198326716442,Amy Powell,5,2028,True,Active,2023-02-16,2026-03-10 09:14:45.661999
CARD_00000174,CUST_000106,Visa,Business,8859,hash_5816517644688859,Jamie Poole,6,2027,True,Blocked,2022-07-19,2026-03-10 09:14:45.662812
CARD_00000175,CUST_000107,Visa,Credit,3527,hash_7551013106753527,Randall Guerrero,10,2030,True,Active,2022-06-30,2026-03-10 09:14:45.663619
CARD_00000176,CUST_000108,Discover,Credit,0336,hash_5135977537790336,Charles Powers,11,2031,True,Active,2023-02-19,2026-03-10 09:14:45.664452
CARD_00000177,CUST_000108,Visa,Business,8743,hash_7467822349068743,Charles Powers,12,2031,False,Blocked,2026-02-28,2026-03-10 09:14:45.665236
